Sample	Timepoint	Condition	read1	read2
LD1417-2	0h	YES	/hugedata/YushengYang/20220711_yangyusheng_spike_in/YYS1417_2/YYS1417-2-0-0h_1.fq.gz	/hugedata/YushengYang/20220711_yangyusheng_spike_in/YYS1417_2/20220624YYS-NSKY1417-2-0-0h_2.fq.gz
LD1417-2	YES0	YES	/hugedata/YushengYang/20220711_yangyusheng_spike_in/YYS1417_2/YYS1417-2-0-YES0_1.fq.gz	/hugedata/YushengYang/20220711_yangyusheng_spike_in/YYS1417_2/20220624YYS-NSKY1417-2-0-YES0_2.fq.gz
LD1417-2	YES1	YES	/hugedata/YushengYang/20220711_yangyusheng_spike_in/YYS1417_2/YYS1417-2-0-YES1_1.fq.gz	/hugedata/YushengYang/20220711_yangyusheng_spike_in/YYS1417_2/20220624YYS-NSKY1417-2-0-YES1_2.fq.gz
LD1417-2	YES2	YES	/hugedata/YushengYang/20220711_yangyusheng_spike_in/YYS1417_2/YYS1417-2-0-YES2_1.fq.gz	/hugedata/YushengYang/20220711_yangyusheng_spike_in/YYS1417_2/20220624YYS-NSKY1417-2-0-YES2_2.fq.gz
LD1417-2	YES3	YES	/hugedata/YushengYang/20220711_yangyusheng_spike_in/YYS1417_2/YYS1417-2-0-YES3_1.fq.gz	/hugedata/YushengYang/20220711_yangyusheng_spike_in/YYS1417_2/20220624YYS-NSKY1417-2-0-YES3_2.fq.gz
LD1417-2	YES4	YES	/hugedata/YushengYang/20220711_yangyusheng_spike_in/YYS1417_2/YYS1417-2-0-YES4_1.fq.gz	/hugedata/YushengYang/20220711_yangyusheng_spike_in/YYS1417_2/20220624YYS-NSKY1417-2-0-YES4_2.fq.gz
LD1417-2	YES5	YES	/hugedata/YushengYang/20220711_yangyusheng_spike_in/YYS1417_2/YYS1417-2-0-YES5_1.fq.gz	/hugedata/YushengYang/20220711_yangyusheng_spike_in/YYS1417_2/20220624YYS-NSKY1417-2-0-YES5_2.fq.gz
LD1417-2	YES6	YES	/hugedata/YushengYang/20220711_yangyusheng_spike_in/YYS1417_2/YYS1417-2-0-YES6_1.fq.gz	/hugedata/YushengYang/20220711_yangyusheng_spike_in/YYS1417_2/20220624YYS-NSKY1417-2-0-YES6_2.fq.gz
